Row Labels,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025,2026,2007/08,2009/10,2020/21,Grand Total
Arun Jaitley Stadium,,DC,DC,DC,DC,DC,DC,DC,DC,DC,NEUTRAL,,DC,DC,DC,DC,DC,DC,,DC
"Arun Jaitley Stadium, Delhi",,DC,DC,DC,DC,DC,DC,DC,DC,DC,NEUTRAL,,DC,DC,DC,DC,DC,DC,,DC
Barabati Stadium,,,Deccan,,PBKS,,,,,,,,,,,,,Deccan,,"Deccan, PBKS"
"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,,,RR,RR,RR,RR,,,,RR
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,,,LSG,LSG,LSG,LSG,,,,LSG
Brabourne Stadium,,,,,NEUTRAL,RR,,,,,,NEUTRAL,,,,,,MI,,"MI, RR"
"Brabourne Stadium, Mumbai",,,,,NEUTRAL,RR,,,,,,NEUTRAL,,,,,,MI,,"MI, RR"
Buffalo Park,NEUTRAL,,,,,,,,,,,,,,,,,,,NEUTRAL
De Beers Diamond Oval,NEUTRAL,,,,,,,,,,,,,,,,,,,NEUTRAL
Dr DY Patil Sports Academy,,PWI,,,,,,,,,,NEUTRAL,,,,,MI,MI,,"MI, PWI"
"Dr DY Patil Sports Academy, Mumbai",,PWI,,,,,,,,,,NEUTRAL,,,,,MI,MI,,"MI, PWI"
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,,Deccan,,,SRH,"RPSG, MI",,,DC,,,,DC,,,,,,"DC, Deccan, SRH"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,Deccan,,,SRH,"RPSG, MI",,,DC,,,,DC,,,,,,"DC, Deccan, SRH"
Dubai International Cricket Stadium,,,,,NEUTRAL,,,,,,NEUTRAL,,,,,,,,NEUTRAL,NEUTRAL
