match_id,team1,team2,match_won_by,date,season,toss_winner,venue
335982,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,18-04-2008,2007/08,Royal Challengers Bangalore,M Chinnaswamy Stadium
335983,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,19-04-2008,2007/08,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
335984,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,19-04-2008,2007/08,Rajasthan Royals,Feroz Shah Kotla
335985,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,20-04-2008,2007/08,Mumbai Indians,Wankhede Stadium
335986,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,20-04-2008,2007/08,Deccan Chargers,Eden Gardens
335987,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,21-04-2008,2007/08,Kings XI Punjab,Sawai Mansingh Stadium
335988,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,22-04-2008,2007/08,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
335989,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,23-04-2008,2007/08,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
335990,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,24-04-2008,2007/08,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
335991,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,25-04-2008,2007/08,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
335992,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,26-04-2008,2007/08,Rajasthan Royals,M Chinnaswamy Stadium
335993,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,26-04-2008,2007/08,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
335994,Mumbai Indians,Deccan Chargers,Deccan Chargers,27-04-2008,2007/08,Deccan Chargers,Dr DY Patil Sports Academy
335995,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,27-04-2008,2007/08,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali"
335996,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,28-04-2008,2007/08,Chennai Super Kings,M Chinnaswamy Stadium
335997,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,29-04-2008,2007/08,Kolkata Knight Riders,Eden Gardens
335998,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,30-04-2008,2007/08,Royal Challengers Bangalore,Feroz Shah Kotla
335999,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,01-05-2008,2007/08,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
336000,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,01-05-2008,2007/08,Rajasthan Royals,Sawai Mansingh Stadium
336001,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,02-05-2008,2007/08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
336003,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,03-05-2008,2007/08,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
336034,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,03-05-2008,2007/08,Deccan Chargers,M Chinnaswamy Stadium
336004,Mumbai Indians,Delhi Daredevils,Mumbai Indians,04-05-2008,2007/08,Delhi Daredevils,Dr DY Patil Sports Academy
336005,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,04-05-2008,2007/08,Chennai Super Kings,Sawai Mansingh Stadium
336006,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,05-05-2008,2007/08,Kings XI Punjab,M Chinnaswamy Stadium
336007,Chennai Super Kings,Deccan Chargers,Deccan Chargers,06-05-2008,2007/08,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
336008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,07-05-2008,2007/08,Mumbai Indians,Dr DY Patil Sports Academy
336009,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,08-05-2008,2007/08,Chennai Super Kings,Feroz Shah Kotla
336010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,08-05-2008,2007/08,Kolkata Knight Riders,Eden Gardens
336011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,09-05-2008,2007/08,Rajasthan Royals,Sawai Mansingh Stadium
336013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,10-05-2008,2007/08,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
336014,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,11-05-2008,2007/08,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
336015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,11-05-2008,2007/08,Rajasthan Royals,Sawai Mansingh Stadium
336016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,12-05-2008,2007/08,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
336017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,13-05-2008,2007/08,Kolkata Knight Riders,Eden Gardens
336018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,14-05-2008,2007/08,Mumbai Indians,Wankhede Stadium
336020,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,15-05-2008,2007/08,Deccan Chargers,Feroz Shah Kotla
336021,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,16-05-2008,2007/08,Mumbai Indians,Wankhede Stadium
336022,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,17-05-2008,2007/08,Delhi Daredevils,Feroz Shah Kotla
336023,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,17-05-2008,2007/08,Royal Challengers Bangalore,Sawai Mansingh Stadium
336024,Mumbai Indians,Deccan Chargers,Mumbai Indians,18-05-2008,2007/08,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
336025,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,18-05-2008,2007/08,Kolkata Knight Riders,Eden Gardens
336026,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,19-05-2008,2007/08,Delhi Daredevils,M Chinnaswamy Stadium
336027,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,20-05-2008,2007/08,Rajasthan Royals,Eden Gardens
336028,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,21-05-2008,2007/08,Mumbai Indians,Wankhede Stadium
336029,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,21-05-2008,2007/08,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
336031,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,23-05-2008,2007/08,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
336032,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,24-05-2008,2007/08,Delhi Daredevils,Feroz Shah Kotla
336033,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,24-05-2008,2007/08,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk"
336002,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,25-05-2008,2007/08,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
336035,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,25-05-2008,2007/08,Kings XI Punjab,Eden Gardens
336036,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,26-05-2008,2007/08,Rajasthan Royals,Sawai Mansingh Stadium
336037,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,27-05-2008,2007/08,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
336012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,28-05-2008,2007/08,Mumbai Indians,M Chinnaswamy Stadium
336019,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,28-05-2008,2007/08,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
